{341, 96, {(2*Pi)/5, Pi/3, 1.5540836055576175}}
{342, 99, {(2*Pi)/5, (8*Pi)/15, 4.388463715097609}}
{343, 116, {(7*Pi)/15, (2*Pi)/3, 2.9633136799087505}}
{344, 23, {Pi/15, (7*Pi)/15, 3.007495186628623}}
{345, 42, {(2*Pi)/15, (11*Pi)/15, 3.8229352452763425}}
{346, 112, {(7*Pi)/15, (2*Pi)/5, 1.7032060908046371}}
{347, 41, {(2*Pi)/15, (2*Pi)/3, 1.919256301102328}}
{348, 13, {0, (4*Pi)/5, 2.300314646344519}}
{349, 74, {(4*Pi)/15, (13*Pi)/15, 3.36067460986599}}
{350, 44, {(2*Pi)/15, (13*Pi)/15, 1.9974547550983601}}
{351, 70, {(4*Pi)/15, (3*Pi)/5, 4.08993827388203}}
{352, 21, {Pi/15, Pi/3, 4.626156791654526}}
{353, 14, {0, (13*Pi)/15, 2.089403171612627}}
{354, 92, {(2*Pi)/5, Pi/15, 3.726523078768956}}
{355, 87, {Pi/3, (11*Pi)/15, 2.261548962155227}}
{356, 88, {Pi/3, (4*Pi)/5, 2.7242992985970034}}
{357, 44, {(2*Pi)/15, (13*Pi)/15, 2.193888767356835}}
{358, 88, {Pi/3, (4*Pi)/5, 2.483761783021767}}
{359, 41, {(2*Pi)/15, (2*Pi)/3, 1.9785854563868193}}
{360, 81, {Pi/3, Pi/3, 5.035057565879449}}
{361, 93, {(2*Pi)/5, (2*Pi)/15, 9.297101482166621}}
{362, 27, {Pi/15, (11*Pi)/15, 2.0153858825497335}}
{363, 80, {Pi/3, (4*Pi)/15, 1.7234304477478715}}
{364, 44, {(2*Pi)/15, (13*Pi)/15, 2.762543550539605}}
{365, 77, {Pi/3, Pi/15, 3.362464591084345}}
{366, 120, {(7*Pi)/15, (14*Pi)/15, 3.479133298332055}}
{367, 93, {(2*Pi)/5, (2*Pi)/15, 1.57506705216331}}
{368, 120, {(7*Pi)/15, (14*Pi)/15, 2.263668147293134}}
{369, 99, {(2*Pi)/5, (8*Pi)/15, 2.9656251751446048}}
{370, 75, {(4*Pi)/15, (14*Pi)/15, 1.9148492705217908}}
{371, 60, {Pi/5, (14*Pi)/15, 4.863543516763921}}
{372, 93, {(2*Pi)/5, (2*Pi)/15, 1.7491700003208395}}
{373, 79, {Pi/3, Pi/5, 2.4725588938528604}}
{374, 12, {0, (11*Pi)/15, 5.616252777047707}}
{375, 101, {(2*Pi)/5, (2*Pi)/3, 5.400059648097046}}
{376, 110, {(7*Pi)/15, (4*Pi)/15, 4.180276513985354}}
{377, 39, {(2*Pi)/15, (8*Pi)/15, 3.44335826480043}}
{378, 59, {Pi/5, (13*Pi)/15, 2.629912295732996}}
{379, 55, {Pi/5, (3*Pi)/5, 5.21681336845272}}
{380, 49, {Pi/5, Pi/5, 2.3592153407980865}}
{381, 41, {(2*Pi)/15, (2*Pi)/3, 2.469545454299014}}
{382, 86, {Pi/3, (2*Pi)/3, 2.0520752147887116}}
{383, 73, {(4*Pi)/15, (4*Pi)/5, 2.614353339829923}}
{384, 40, {(2*Pi)/15, (3*Pi)/5, 4.407239414256606}}
{385, 5, {0, (4*Pi)/15, 3.0301233715551383}}
{386, 96, {(2*Pi)/5, Pi/3, 4.066117243995616}}
{387, 30, {Pi/15, (14*Pi)/15, 2.143909744018201}}
{388, 111, {(7*Pi)/15, Pi/3, 3.6766431724735447}}
{389, 5, {0, (4*Pi)/15, 2.547974858447287}}
{390, 104, {(2*Pi)/5, (13*Pi)/15, 2.045545309212025}}
{391, 68, {(4*Pi)/15, (7*Pi)/15, 3.0430563940519924}}
{392, 120, {(7*Pi)/15, (14*Pi)/15, 1.9420073358199377}}
{393, 119, {(7*Pi)/15, (13*Pi)/15, 3.52611984173483}}
{394, 95, {(2*Pi)/5, (4*Pi)/15, 15.835743862392807}}
{395, 85, {Pi/3, (3*Pi)/5, 5.737989656067812}}
{396, 22, {Pi/15, (2*Pi)/5, 6.1370973354705605}}
{397, 45, {(2*Pi)/15, (14*Pi)/15, 2.907023470575012}}
